Date,Open,High,Low,Close,Adj Close,Volume
18-11-2013,18.749643,18.828215,18.507143,18.522499,16.329288,244944000
19-11-2013,18.536785,18.692142,18.498928,18.555357,16.358252,208938800
20-11-2013,18.543928,18.58643,18.368929,18.392857,16.214996,193916800
21-11-2013,18.485714,18.614643,18.345358,18.612143,16.408308,262026800
22-11-2013,18.554285,18.648571,18.518929,18.564285,16.366121,223725600
25-11-2013,18.607857,18.781071,18.607143,18.705,16.490173,229311600
26-11-2013,18.718571,19.147858,18.714287,19.049999,16.794327,401382800
27-11-2013,19.153929,19.5,19.049999,19.498571,17.189787,363448400
29-11-2013,19.624287,19.940357,19.564644,19.859644,17.508099,318127600
02-12-2013,19.928572,20.154642,19.672144,19.686787,17.355707,472544800
03-12-2013,19.939285,20.227858,19.917143,20.225714,17.83082,450968000
04-12-2013,20.196428,20.328215,20.029285,20.178572,17.789259,377809600
05-12-2013,20.451786,20.540714,20.22893,20.282143,17.880575,447580000
06-12-2013,20.206785,20.241072,19.984644,20.000713,17.632467,344352400
09-12-2013,20.032143,20.342142,20.032143,20.229643,17.834291,320493600
10-12-2013,20.127857,20.281429,20.042856,20.198214,17.806581,278269600
11-12-2013,20.25,20.391787,19.98893,20.048571,17.67466,359718800
12-12-2013,20.076429,20.190714,20.001072,20.019285,17.648834,262290000
13-12-2013,20.101786,20.102858,19.77393,19.801071,17.456467,332822000
16-12-2013,19.822144,20.094286,19.821787,19.910713,17.553122,282592800
17-12-2013,19.850357,19.98,19.763571,19.821072,17.474096,229902400
18-12-2013,19.632143,19.694643,19.242857,19.670357,17.341228,565863200
19-12-2013,19.625,19.642857,19.418928,19.445,17.142551,320308800
20-12-2013,19.479643,19.700357,19.457857,19.607857,17.286123,436413600
23-12-2013,20.285713,20.382856,20.098572,20.360357,17.949524,501306400
24-12-2013,20.353214,20.424286,20.215357,20.27393,17.873327,167554800
26-12-2013,20.289286,20.339287,20.120714,20.139286,17.754629,204008000
27-12-2013,20.136429,20.157499,19.982143,20.003214,17.63467,225884400
30-12-2013,19.909286,20.003214,19.725714,19.804285,17.459295,253629600
